,project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
221,arturbien/React95,1,v,13,0,2,6,19,0 days 00:00:00.038153
222,zotero/zotero,1,,7,0,6,246,253,0 days 00:00:00.949254
223,phan/phan,1,,33,12,10,127,160,0 days 00:00:00.391036
224,frohoff/ysoserial,2, v,0,0,0,10,10,0 days 00:00:00.012949
225,tzapu/WiFiManager,2, v,16,5,3,0,16,0 days 00:00:00.022865
226,sachinchoolur/lightgallery.js,1,,5,0,0,11,16,0 days 00:00:00.014126
227,achael/eht-imaging,1,v,3,0,2,7,10,0 days 00:00:00.110958
228,mher/flower,1,v,9,1,6,15,24,0 days 00:00:00.072872
229,remarkjs/remark,5, remark-stringify@ remark-parse@ remark@ remark-cli@,56,15,3,95,151,0 days 00:00:00.143953
230,moby/buildkit,2,dockerfile/ v,13,1,5,32,45,0 days 00:00:00.334412
231,crowdsecurity/crowdsec,1,v,7,0,3,39,46,0 days 00:00:00.064664
232,h6ah4i/android-advancedrecyclerview,1,,8,1,6,22,30,0 days 00:00:00.045732
233,crossplane/crossplane,1,v,23,11,3,34,57,0 days 00:00:00.408244
234,substack/minimist,1,,6,0,0,20,26,0 days 00:00:00.014957
235,graphql-dotnet/graphql-dotnet,2, v,42,12,6,45,87,0 days 00:00:00.252652
236,wasabeef/Blurry,1,,6,0,3,7,13,0 days 00:00:00.017434
237,dmlc/gluon-cv,1,v,10,0,8,0,10,0 days 00:00:00.056936
238,mailcow/mailcow-dockerized,0,,0,0,0,0,0,0 days 00:00:00.012414
239,crazycodeboy/react-native-splash-screen,1,v,6,0,4,6,12,0 days 00:00:00.017991
240,serialport/node-serialport,18, @serialport/parser-readline@ @serialport/parser-slip-encoder@ @serialport/stream@ @serialport/parser-byte-length@ @serialport/repl@ @serialport/parser-regex@ @serialport/terminal@ @serialport/binding-mock@ @serialport/list@ serialport@ @serialport/parser-cctalk@ @serialport/parser-ready@ @serialport/bindings@ @serialport/parser-inter-byte-timeout@ v @serialport/binding-abstract@ @serialport/parser-delimiter@,24,1,3,180,204,0 days 00:00:00.286684
241,chrisbanes/tivi,2,build-number- v,7,1,3,42,49,0 days 00:00:00.275628
242,muaz-khan/RecordRTC,1,,5,0,1,38,43,0 days 00:00:00.039953
243,svaarala/duktape,2,convert-makedist-to-python- v,30,7,16,25,55,0 days 00:00:00.561623
244,release-it/release-it,1,,84,18,5,176,260,0 days 00:00:00.314146
245,kubernetes-sigs/kubebuilder,5,tools- v1beta v release- v1alpha,15,4,5,22,37,0 days 00:00:00.259388
246,liamg/traitor,1,v,0,0,0,14,14,0 days 00:00:00.015331
247,blender/blender,2,softbody-stable-v v,63,5,39,35,98,0 days 00:00:06.541563
248,nodegit/nodegit,1,v,27,8,10,67,94,0 days 00:00:00.190105
249,librosa/librosa,2, v,9,0,8,13,22,0 days 00:00:00.163650
250,naver/billboard.js,1,,21,1,13,54,75,0 days 00:00:00.180109
251,StackExchange/StackExchange.Redis,2, v,2,0,1,35,37,0 days 00:00:00.106456
252,kartik-v/bootstrap-fileinput,1,v,26,6,3,61,87,0 days 00:00:00.085542
253,go-task/task,1,v,26,7,6,26,52,0 days 00:00:00.064697
